code,entry_ts,exit_ts,entry_px,exit_px,return_pct,win,sleeve
MU.US,2024-09-16 10:30:00,2024-09-17 12:30:00,87.2699966430664,88.29989624023438,1.1801302128843227,1,large
TSLA.US,2024-09-18 10:30:00,2024-09-23 14:30:00,228.22999572753903,249.26170349121097,9.215137430392616,1,large
MU.US,2024-09-20 10:30:00,2024-09-23 14:30:00,89.3499984741211,93.52989959716795,4.678121090575638,1,large
IONQ.US,2024-09-23 12:30:00,2024-09-25 09:30:00,8.0600004196167,7.954999923706055,-1.3027356134509671,0,sniper
MU.US,2024-09-25 12:30:00,2024-09-26 12:30:00,95.12000274658205,108.86499786376952,14.450162658012932,1,large
MU.US,2024-11-08 12:30:00,2024-11-11 10:30:00,112.19000244140624,107.56590270996094,-4.121668268846268,0,large
TSLA.US,2024-11-11 09:30:00,2024-11-12 09:30:00,344.9258117675781,339.6007080078125,-1.54384032104673,0,large
MU.US,2024-12-04 10:30:00,2024-12-04 12:30:00,101.4520034790039,101.9749984741211,0.5155097752460147,1,large
TSLA.US,2024-12-05 12:30:00,2024-12-06 12:30:00,369.2699890136719,376.1099853515625,1.852302256178584,1,large
MU.US,2024-12-05 14:30:00,2024-12-09 12:30:00,100.9499969482422,102.87000274658205,1.901937450601654,1,large
TSLA.US,2025-01-22 10:30:00,2025-01-22 12:30:00,422.5953063964844,421.2999877929687,-0.30651514200690233,0,large
MU.US,2025-01-22 10:30:00,2025-01-22 12:30:00,110.04000091552734,109.47000122070312,-0.5179931752833933,0,large
MU.US,2025-01-23 09:30:00,2025-01-23 10:30:00,103.4499969482422,104.875,1.3774800326681103,1,large
MU.US,2025-04-28 09:30:00,2025-04-28 10:30:00,79.04000091552734,77.00039672851562,-2.580470854487349,0,large
TSLA.US,2025-04-28 12:30:00,2025-04-29 09:30:00,276.51409912109375,281.3999938964844,1.7669604518975923,1,large
IONQ.US,2025-04-28 12:30:00,2025-05-06 09:30:00,27.729999542236328,28.540000915527344,2.921029162143629,1,sniper
MU.US,2025-04-28 12:30:00,2025-04-29 14:30:00,77.16500091552734,77.27999877929688,0.1490285264111213,1,large
MU.US,2025-05-01 10:30:00,2025-05-01 12:30:00,79.51499938964844,78.75,-0.9620818657115282,0,large
TSLA.US,2025-05-01 12:30:00,2025-05-01 14:30:00,284.0899963378906,283.44500732421875,-0.22703686225710173,0,large
MU.US,2025-05-02 09:30:00,2025-05-02 14:30:00,79.73500061035156,81.0999984741211,1.7119180451756533,1,large
MU.US,2025-05-05 10:30:00,2025-05-05 12:30:00,80.01000213623047,80.41999816894531,0.5124309733385068,1,large
MU.US,2025-05-05 14:30:00,2025-05-06 12:30:00,80.58999633789062,80.11000061035156,-0.595602121045613,0,large
TSLA.US,2025-05-15 10:30:00,2025-05-15 12:30:00,339.1600036621094,345.3800048828125,1.833943022037432,1,large
MU.US,2025-08-13 10:30:00,2025-08-14 14:30:00,124.56990051269533,124.41999816894533,-0.12033592636185864,0,large
MU.US,2025-08-15 09:30:00,2025-08-15 10:30:00,120.9800033569336,120.81999969482422,-0.13225628836965875,0,large
TSLA.US,2025-09-10 12:30:00,2025-09-10 14:30:00,354.260009765625,347.45001220703125,-1.9223162002110161,0,large
MU.US,2025-09-15 10:30:00,2025-09-15 12:30:00,157.25999450683594,156.6199951171875,-0.4069689762202122,0,large
MU.US,2025-09-17 10:30:00,2025-09-19 10:30:00,158.46499633789062,160.99070739746094,1.5938605483477364,1,large
TSLA.US,2025-09-18 09:30:00,2025-09-18 14:30:00,428.94000244140625,422.4599914550781,-1.5107033499896727,0,large
TSLA.US,2025-09-19 10:30:00,2025-09-19 14:30:00,423.8244934082031,425.9573974609375,0.5032517199708098,1,large
IONQ.US,2025-09-22 12:30:00,2025-09-23 09:30:00,72.0999984741211,72.98999786376953,1.2343958508790998,1,sniper
MU.US,2025-10-03 12:30:00,2025-10-06 14:30:00,187.9235992431641,190.92779541015625,1.5986263455420868,1,large
MU.US,2025-10-07 10:30:00,2025-10-08 09:30:00,186.80999755859375,194.44000244140625,4.084366459251898,1,large
APLD.US,2025-10-07 10:30:00,2025-10-08 12:30:00,26.979999542236328,27.814800262451172,3.0941465321672412,1,sniper
MU.US,2025-10-27 10:30:00,2025-10-27 14:30:00,220.9600067138672,219.19000244140625,-0.8010518730446115,0,large
MU.US,2025-10-28 10:30:00,2025-10-28 12:30:00,218.1300048828125,221.19500732421875,1.4051264717354517,1,large
MU.US,2025-10-29 09:30:00,2025-10-29 12:30:00,229.82000732421875,229.5050048828125,-0.13706484699648191,0,large
APLD.US,2025-10-29 10:30:00,2025-10-30 09:30:00,35.67499923706055,34.880001068115234,-2.2284462114842585,0,sniper
MU.US,2025-10-30 09:30:00,2025-10-31 10:30:00,225.8000030517578,225.85499572753903,0.02435459479095403,1,large
MU.US,2025-12-01 10:30:00,2025-12-02 09:30:00,236.19000244140625,238.84500122070312,1.1240944798057262,1,large
TSLA.US,2025-12-02 10:30:00,2025-12-03 14:30:00,424.1997985839844,446.2999877929687,5.209853772386652,1,large
MU.US,2026-01-08 12:30:00,2026-01-09 12:30:00,327.75750732421875,340.20001220703125,3.7962532069492294,1,large
MU.US,2026-03-12 12:30:00,2026-03-13 14:30:00,406.0950012207031,423.30999755859375,4.239154948015389,1,large
MU.US,2026-04-07 10:30:00,2026-04-08 14:30:00,369.9949951171875,404.2000122070313,9.244724264178261,1,large
APLD.US,2026-04-09 10:30:00,2026-04-10 14:30:00,26.420000076293945,26.63999938964844,0.8326998967418398,1,sniper
MU.US,2026-04-13 12:30:00,2026-04-15 12:30:00,416.831298828125,445.1400146484375,6.791408394690923,1,large
MU.US,2026-04-17 12:30:00,2026-04-17 14:30:00,457.03460693359375,455.3999938964844,-0.35765629392412457,0,large
TSLA.US,2026-04-20 10:30:00,2026-04-22 10:30:00,393.25,389.614990234375,-0.9243508622059804,0,large
TSLA.US,2026-05-06 10:30:00,2026-05-06 14:30:00,392.9110107421875,400.760009765625,1.9976531094435757,1,large
MU.US,2026-05-07 14:30:00,2026-05-08 14:30:00,639.2999877929688,732.9899291992188,14.655082620866654,1,large
TSLA.US,2026-05-12 12:30:00,2026-05-13 14:30:00,426.8100891113281,444.5501098632813,4.1564201982408955,1,large
MU.US,2026-05-12 12:30:00,2026-05-13 12:30:00,730.47998046875,801.5549926757812,9.72990555626485,1,large
IONQ.US,2026-06-01 12:30:00,2026-06-03 09:30:00,70.63999938964844,71.44999694824219,1.146655670430885,1,sniper
