code,entry_ts,pnl,return_pct,win,qqq_trend,mag7_ge4,mag7_ge5,strong,qqq_and_mag7,full,drop_APLD.US,drop_IONQ.US,drop_MU.US,drop_TSLA.US,above_sma20,vol_expand,local_macd_green,ret5_pos,tech,tech_vol,regime_tech,strong_tech
APLD.US,2025-02-20,93747.3801,8.44,1.0,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
APLD.US,2025-05-13,146793.2318,11.26,1.0,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False
APLD.US,2025-10-07,24698.1362,3.03,1.0,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True
APLD.US,2025-10-29,-7933.7054,-1.0,0.0,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False
APLD.US,2026-01-08,39362.3071,19.66,1.0,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False
APLD.US,2026-04-09,12335.6005,0.81,1.0,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
APLD.US,2026-04-14,784.2979,0.32,1.0,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
APLD.US,2026-04-20,46677.7126,2.41,1.0,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True
IONQ.US,2024-09-24,-18737.996,-1.71,0.0,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False
IONQ.US,2025-04-28,12672.2395,2.83,1.0,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
IONQ.US,2025-05-16,31875.514,2.17,1.0,False,True,True,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False
IONQ.US,2025-09-22,17456.3586,1.18,1.0,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
IONQ.US,2026-05-08,150102.1469,16.47,1.0,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False
IONQ.US,2026-06-01,24268.7955,1.02,1.0,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True
MU.US,2024-09-16,5956.9229,1.1,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False
MU.US,2024-09-18,0.0172,1.97,1.0,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False
MU.US,2024-09-20,0.0411,4.6,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False
MU.US,2024-09-25,154599.6388,14.33,1.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
MU.US,2024-10-15,60958.8673,4.94,1.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2024-11-08,-54091.268,-4.18,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2024-12-04,7201.6649,0.78,1.0,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False
MU.US,2024-12-05,0.0182,1.8,1.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-01-22,-4101.8843,-0.59,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-01-23,15373.9258,1.26,1.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-01-23,-35661.0595,-2.89,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-02-07,27208.1097,2.85,1.0,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False
MU.US,2025-04-28,-35858.4525,-2.72,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-04-28,320.1988,0.06,1.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-05-01,-7425.4844,-1.08,0.0,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,False
MU.US,2025-05-02,11593.0963,1.63,1.0,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,False
MU.US,2025-05-05,2761.6193,0.39,1.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-05-05,-4951.858,-0.69,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-08-13,-3308.6631,-0.22,0.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
MU.US,2025-08-15,-3602.4922,-0.24,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-09-15,-6955.6064,-0.47,0.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
MU.US,2025-09-17,21616.0646,1.48,1.0,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,False
MU.US,2025-10-03,22791.8046,1.52,1.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-10-07,28193.1039,3.97,1.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
MU.US,2025-10-27,-13662.4409,-0.87,0.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
MU.US,2025-10-28,20639.2381,1.32,1.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-10-29,-2394.0398,-0.3,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-10-30,-856.8964,-0.11,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-12-01,8763.4233,0.96,1.0,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False
MU.US,2026-01-08,54179.6444,3.7,1.0,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False
MU.US,2026-03-11,6923.4353,0.51,1.0,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
MU.US,2026-03-12,59820.7346,4.11,1.0,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,False
MU.US,2026-04-13,106286.5282,6.69,1.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2026-04-17,-8187.1883,-0.48,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2026-05-07,158259.0854,14.5,1.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
MU.US,2026-05-12,44029.7076,9.61,1.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
MU.US,2026-06-03,-3171.5434,-0.18,0.0,True,False,False,False,False,False,True,True,False,True,True,False,True,True,True,False,True,False
MU.US,2026-06-04,-4032.1102,-0.21,0.0,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,False,False,False
TSLA.US,2024-09-18,91594.6211,9.11,1.0,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False
TSLA.US,2024-11-11,-43973.8192,-4.78,0.0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
TSLA.US,2024-12-05,21441.8683,1.78,1.0,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False
TSLA.US,2025-01-22,-2182.4571,-0.41,0.0,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False
TSLA.US,2025-04-24,1350.2524,0.15,1.0,True,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False
TSLA.US,2025-04-28,5278.5025,1.65,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
TSLA.US,2025-05-01,-1964.1422,-0.35,0.0,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False
TSLA.US,2025-05-15,20484.5616,1.77,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
TSLA.US,2025-09-10,-30088.8297,-2.01,0.0,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
TSLA.US,2025-09-19,5557.113,0.42,1.0,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False
TSLA.US,2025-12-02,80974.5115,5.11,1.0,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False
TSLA.US,2026-03-11,-2413.5609,-0.61,0.0,True,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,False,False
TSLA.US,2026-04-20,-14452.6329,-0.78,0.0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
TSLA.US,2026-05-06,37141.5795,1.89,1.0,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False
TSLA.US,2026-05-12,32110.8574,4.06,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
